PurchaseID,FunctionID,LoanItemID,EmployeeID,,concat
1,3,66,11,,"1,3,66,11"
2,3,66,15,,"2,3,66,15"
3,3,66,15,,"3,3,66,15"
4,3,66,12,,"4,3,66,12"
5,3,66,11,,"5,3,66,11"
6,3,66,14,,"6,3,66,14"
7,3,66,15,,"7,3,66,15"
8,3,66,11,,"8,3,66,11"
9,3,22,12,,"9,3,22,12"
10,3,22,15,,"10,3,22,15"
11,3,22,15,,"11,3,22,15"
12,3,22,12,,"12,3,22,12"
13,3,22,13,,"13,3,22,13"
14,3,22,12,,"14,3,22,12"
15,3,22,14,,"15,3,22,14"
16,3,22,13,,"16,3,22,13"
17,3,397,12,,"17,3,397,12"
18,3,397,13,,"18,3,397,13"
19,3,360,15,,"19,3,360,15"
20,3,360,13,,"20,3,360,13"
21,3,360,13,,"21,3,360,13"
22,3,360,11,,"22,3,360,11"
23,3,360,12,,"23,3,360,12"
24,3,360,15,,"24,3,360,15"
25,3,360,14,,"25,3,360,14"
26,3,360,13,,"26,3,360,13"
27,3,360,14,,"27,3,360,14"
28,3,360,13,,"28,3,360,13"
29,3,125,11,,"29,3,125,11"
30,3,125,15,,"30,3,125,15"
31,3,125,11,,"31,3,125,11"
32,3,125,15,,"32,3,125,15"
33,3,125,13,,"33,3,125,13"
34,3,125,14,,"34,3,125,14"
35,3,125,13,,"35,3,125,13"
36,3,125,11,,"36,3,125,11"
37,3,125,11,,"37,3,125,11"
38,3,125,11,,"38,3,125,11"
39,3,125,15,,"39,3,125,15"
40,3,53,13,,"40,3,53,13"
41,3,53,11,,"41,3,53,11"
42,3,53,15,,"42,3,53,15"
43,3,53,11,,"43,3,53,11"
44,3,53,11,,"44,3,53,11"
45,3,53,15,,"45,3,53,15"
46,3,53,15,,"46,3,53,15"
47,3,53,15,,"47,3,53,15"
48,3,53,15,,"48,3,53,15"
49,3,53,15,,"49,3,53,15"
50,3,53,15,,"50,3,53,15"
51,3,53,11,,"51,3,53,11"
52,3,53,11,,"52,3,53,11"
53,3,53,15,,"53,3,53,15"
54,3,53,14,,"54,3,53,14"
55,3,53,11,,"55,3,53,11"
56,3,53,11,,"56,3,53,11"
57,3,53,14,,"57,3,53,14"
58,3,53,15,,"58,3,53,15"
59,3,53,13,,"59,3,53,13"
60,3,69,14,,"60,3,69,14"
61,3,69,14,,"61,3,69,14"
62,3,69,11,,"62,3,69,11"
63,3,69,14,,"63,3,69,14"
64,3,69,11,,"64,3,69,11"
65,3,69,11,,"65,3,69,11"
66,3,69,11,,"66,3,69,11"
67,3,69,13,,"67,3,69,13"
68,3,189,11,,"68,3,189,11"
69,3,189,12,,"69,3,189,12"
70,3,189,12,,"70,3,189,12"
71,3,189,14,,"71,3,189,14"
72,3,189,12,,"72,3,189,12"
73,3,189,13,,"73,3,189,13"
74,3,189,14,,"74,3,189,14"
75,3,189,15,,"75,3,189,15"
76,3,189,12,,"76,3,189,12"
77,3,165,14,,"77,3,165,14"
78,3,165,14,,"78,3,165,14"
79,3,165,15,,"79,3,165,15"
80,3,165,14,,"80,3,165,14"
81,3,165,11,,"81,3,165,11"
82,3,165,15,,"82,3,165,15"
83,3,165,12,,"83,3,165,12"
84,3,165,15,,"84,3,165,15"
85,3,165,14,,"85,3,165,14"
86,3,165,12,,"86,3,165,12"
87,3,165,13,,"87,3,165,13"
88,3,165,12,,"88,3,165,12"
89,3,165,11,,"89,3,165,11"
